#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   0.90947     -7.505898  0.572  0.003  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.581
   0.94799     -7.461230  0.575  0.005  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.585
   0.98651     -7.409427  0.578  0.006  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.589
   1.02503     -7.351074  0.583  0.007  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.595
   1.06355     -7.286925  0.588  0.008  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.601
   1.10207     -7.217952  0.594  0.009  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.609
   1.14059     -7.145397  0.601  0.011  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.617
   1.17911     -7.070840  0.610  0.011  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.627
   1.21764     -6.996280  0.620  0.011  0.003  0.002  0.000  0.000  0.000  0.000  0.000  0.638
   1.25616     -6.924210  0.631  0.011  0.003  0.003  0.000  0.000  0.000  0.000  0.000  0.649
   1.29468     -6.857644  0.643  0.010  0.003  0.005  0.000  0.000  0.000  0.000  0.000  0.662
   1.33320     -6.800075  0.654  0.009  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.673
   1.37172     -6.755236  0.663  0.008  0.003  0.008  0.000  0.000  0.000  0.000  0.000  0.683
   1.41024     -6.726616  0.670  0.007  0.003  0.009  0.000  0.000  0.000  0.000  0.000  0.690
   1.44876     -6.716762  0.672  0.006  0.004  0.009  0.000  0.000  0.000  0.000  0.000  0.692
   1.44876     -6.716762  0.672  0.006  0.004  0.009  0.000  0.000  0.000  0.000  0.000  0.692
   1.50268     -6.737991  0.672  0.006  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.690
   1.55660     -6.797359  0.668  0.006  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.686
   1.61052     -6.883812  0.664  0.006  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.680
   1.66444     -6.983714  0.660  0.004  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.674
   1.71836     -7.084362  0.656  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.668
   1.77228     -7.175587  0.654  0.002  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.664
   1.82620     -7.249966  0.654  0.002  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.662
   1.88012     -7.302442  0.654  0.000  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.660
   1.93404     -7.329907  0.654  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.660
   1.98796     -7.330883  0.656  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.660
   2.04188     -7.305376  0.656  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.662
   2.09580     -7.254868  0.658  0.000  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.664
   2.14972     -7.182417  0.660  0.002  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.668
   2.20364     -7.092927  0.666  0.002  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.674
   2.25756     -6.993553  0.672  0.002  0.004  0.002  0.000  0.000  0.002  0.000  0.000  0.682
   2.31148     -6.894159  0.682  0.002  0.004  0.002  0.000  0.000  0.002  0.000  0.000  0.690
   2.36540     -6.807349  0.692  0.000  0.004  0.002  0.000  0.000  0.002  0.000  0.000  0.700
   2.41932     -6.747165  0.700  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.708
   2.47324     -6.725505  0.704  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.710
 
# Band-Index    4
   2.47324     -5.748259  0.502  0.000  0.018  0.000  0.000  0.000  0.002  0.000  0.000  0.522
   2.41932     -5.773094  0.504  0.000  0.016  0.000  0.000  0.000  0.002  0.000  0.000  0.522
   2.36540     -5.844035  0.506  0.000  0.014  0.002  0.000  0.000  0.002  0.000  0.000  0.524
   2.31148     -5.951650  0.512  0.002  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.528
   2.25756     -6.083623  0.516  0.002  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.530
   2.20364     -6.227744  0.520  0.002  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.534
   2.14972     -6.373579  0.526  0.002  0.006  0.002  0.002  0.000  0.000  0.000  0.000  0.536
   2.09580     -6.512906  0.532  0.002  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.542
   2.04188     -6.639478  0.538  0.000  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.546
   1.98796     -6.748544  0.546  0.000  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.552
   1.93404     -6.836522  0.552  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.560
   1.88012     -6.900739  0.560  0.002  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.570
   1.82620     -6.939378  0.568  0.002  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.580
   1.77228     -6.951614  0.578  0.004  0.002  0.004  0.002  0.000  0.000  0.000  0.000  0.592
   1.71836     -6.937974  0.590  0.006  0.002  0.006  0.002  0.000  0.000  0.000  0.000  0.606
