#k-distance eigenvalue[eV]
2.14971629 -0.71230000
2.20363630 -0.73270000
2.25755632 -0.72160000
2.31147633 -0.70060000
2.36539635 -0.68080000
2.41931636 -0.66760000
2.47323638 -0.66300000

0.00000000 1.48100000
0.03773015 1.48270000
0.07546030 1.48800000
0.11319045 1.49720000
0.15092061 1.51130000
0.18865076 1.53120000
0.22638091 1.55810000
0.26411106 1.59280000
0.30184121 1.63650000
0.33957136 1.68970000
0.37730150 1.75310000
0.41503165 1.69820000
0.45276181 1.47160000
0.49049196 1.26390000
0.52822211 1.08810000
0.56595226 0.96920000
0.60368241 0.93970000
0.64141256 1.00570000
0.67914272 1.13710000
0.71687287 1.30440000
0.71687287 1.30440000
0.75539304 1.26200000
0.79391321 1.20320000
0.83243338 1.21710000
0.87095355 1.33150000
0.90947373 1.52400000
0.94799390 1.76000000
0.98651407 2.00990000
1.02503424 2.24970000
1.06355441 2.45960000
1.10207457 2.63030000
1.14059474 2.76550000
1.17911491 2.87480000
1.21763509 2.96590000
1.25615526 3.04290000
1.29467543 3.10710000
1.33319560 3.15840000
1.37171577 3.19600000
1.41023595 3.21900000
1.44875612 3.22670000
1.44875612 3.22670000
1.50267613 3.19290000
1.55659615 3.09440000
1.61051616 2.93950000
1.66443618 2.73830000
1.71835619 2.49810000
1.77227621 2.22380000
1.82619622 1.92650000
1.88011624 1.64550000
1.93403625 1.46820000
1.98795624 1.49720000
2.04187626 1.67530000
2.09579627 1.70040000
2.14971629 1.66240000
2.20363630 1.59950000
2.25755632 1.55040000
2.31147633 1.51640000
2.36539635 1.49540000
2.41931636 1.48440000
2.47323638 1.48100000

0.00000000 3.29950000
0.03773015 3.30800000
0.07546030 3.33240000
0.11319045 3.36860000
0.15092061 3.37240000
0.18865076 3.15660000
0.22638091 2.92290000
0.26411106 2.67900000
0.30184121 2.43060000
0.33957136 2.18190000
0.37730150 1.93650000
0.41503165 1.82670000
0.45276181 1.91050000
0.49049196 2.00370000
0.52822211 2.06010000
0.56595226 1.99150000
0.60368241 1.89330000
0.64141256 1.68920000
0.67914272 1.49110000
0.71687287 1.30440000
0.71687287 1.30440000
0.75539304 1.26200000
0.79391321 1.20320000
0.83243338 1.21710000
0.87095355 1.33150000
0.90947373 1.52400000
0.94799390 1.76000000
0.98651407 2.00990000
1.02503424 2.24970000
1.06355441 2.45960000
1.10207457 2.63030000
1.14059474 2.76550000
1.17911491 2.87480000
1.21763509 2.96590000
1.25615526 3.04290000
1.29467543 3.10710000
1.33319560 3.15840000
1.37171577 3.19600000
1.41023595 3.21900000
1.44875612 3.22670000
1.44875612 3.22670000
1.50267613 3.22900000
1.55659615 3.23770000
1.61051616 3.25680000
1.66443618 3.29000000
1.71835619 3.33960000
1.77227621 3.20950000
1.82619622 2.86800000
1.88011624 2.58260000
1.93403625 2.35440000
1.98795624 2.03660000
2.04187626 1.76520000
2.09579627 1.72140000
2.14971629 1.88270000
2.20363630 2.24500000
2.25755632 2.69170000
2.31147633 3.14920000
2.36539635 3.37810000
2.41931636 3.32050000
2.47323638 3.29950000

0.00000000 3.75320000
0.03773015 3.74370000
0.07546030 3.68960000
0.11319045 3.55780000
0.15092061 3.40940000
0.18865076 3.44340000
0.22638091 3.40970000
0.26411106 3.20330000
0.30184121 2.99770000
0.33957136 2.79850000
0.37730150 2.61070000
0.41503165 2.43880000
0.45276181 2.28710000
0.49049196 2.15960000
0.52822211 2.10290000
0.56595226 2.09290000
0.60368241 1.95570000
0.64141256 1.95370000
0.67914272 1.98480000
0.71687287 2.04740000
0.71687287 2.04740000
0.75539304 2.13280000
0.79391321 2.32940000
0.83243338 2.55300000
0.87095355 2.72340000
0.90947373 2.82480000
0.94799390 2.91330000
0.98651407 3.01600000
1.02503424 3.14690000
1.06355441 3.31560000
1.10207457 3.52210000
1.14059474 3.75240000
1.17911491 3.98590000
1.21763509 4.20280000
1.25615526 4.38760000
1.29467543 4.52990000
1.33319560 4.62590000
1.37171577 4.67590000
1.41023595 4.69140000
1.44875612 4.69360000
1.44875612 4.69360000
1.50267613 4.66290000
1.55659615 4.54430000
1.61051616 4.30490000
1.66443618 3.97060000
1.71835619 3.58940000
1.77227621 3.40490000
1.82619622 3.36650000
1.88011624 2.88690000
1.93403625 2.43000000
1.98795624 2.18670000
2.04187626 2.13760000
2.09579627 2.38660000
2.14971629 2.81690000
2.20363630 3.23840000
2.25755632 3.46290000
2.31147633 3.45070000
2.36539635 3.54460000
2.41931636 3.73790000
2.47323638 3.75320000

0.00000000 3.93100000
0.03773015 3.90750000
0.07546030 3.87030000
0.11319045 3.86720000
0.15092061 3.80330000
0.18865076 3.61010000
0.22638091 3.45610000
0.26411106 3.43250000
0.30184121 3.36400000
0.33957136 3.25100000
0.37730150 3.10170000
0.41503165 2.92640000
0.45276181 2.73400000
0.49049196 2.53150000
0.52822211 2.32760000
0.56595226 2.24040000
0.60368241 2.35300000
0.64141256 2.25740000
0.67914272 2.13930000
0.71687287 2.04740000
0.71687287 2.04740000
0.75539304 2.13280000
0.79391321 2.32950000
0.83243338 2.55310000
0.87095355 2.72360000
0.90947373 2.82480000
0.94799390 2.91330000
0.98651407 3.01600000
1.02503424 3.14690000
1.06355441 3.31560000
1.10207457 3.52210000
1.14059474 3.75240000
1.17911491 3.98590000
1.21763509 4.20280000
1.25615526 4.38770000
1.29467543 4.53150000
1.33319560 4.62610000
1.37171577 4.68310000
1.41023595 4.69190000
1.44875612 4.69360000
1.44875612 4.69360000
1.50267613 4.72860000
1.55659615 4.78260000
1.61051616 4.75880000
1.66443618 4.75600000
1.71835619 4.35110000
1.77227621 3.87700000
1.82619622 3.50150000
1.88011624 3.58780000
1.93403625 3.69040000
1.98795624 3.79330000
2.04187626 3.88060000
2.09579627 3.92950000
2.14971629 3.93150000
2.20363630 3.92250000
2.25755632 3.88590000
2.31147633 3.85340000
2.36539635 3.83160000
2.41931636 3.88020000
2.47323638 3.93120000

