  #K-Path    Energy        Sn        Se
# NKPTS & NBANDS:  60  14
# Band-Index    1
    0.604    0.5210     0.470     0.128
    0.641    0.5870     0.446     0.170
    0.679    0.7184     0.424     0.202
    0.717    0.8857     0.409     0.225
    0.717    0.8857     0.409     0.225
    0.755    0.8434     0.435     0.195
    0.794    0.7845     0.469     0.149
    0.832    0.7985     0.482     0.125
    0.871    0.9128     0.470     0.130
    0.909    1.1054     0.448     0.148
    0.948    1.3413     0.423     0.169
    0.987    1.5913     0.398     0.183
    1.025    1.8311     0.376     0.190
    1.064    2.0410     0.358     0.188
    1.102    2.2116     0.351     0.181
    1.141    2.3468     0.352     0.172
    1.179    2.4561     0.360     0.165
    1.218    2.5472     0.370     0.160
    1.256    2.6242     0.382     0.155
    1.295    2.6884     0.394     0.151
    1.333    2.7397     0.405     0.148
    1.372    2.7773     0.413     0.145
    1.410    2.8003     0.418     0.143
    1.449    2.8081     0.420     0.143
    1.449    2.8081     0.420     0.143
    1.503    2.7742     0.416     0.142
    1.557    2.6757     0.406     0.142
    1.611    2.5209     0.392     0.142
    1.664    2.3196     0.380     0.142
    1.718    2.0795     0.376     0.144
    1.772    1.8051     0.384     0.146
    1.826    1.5078     0.410     0.140
    1.880    1.2268     0.450     0.120
    1.934    1.0495     0.488     0.094
    1.988    1.0785     0.484     0.094
    2.042    1.2567     0.414     0.110
    2.096    1.2817     0.560     0.092
    2.150    1.2438     0.396     0.056
    2.204    1.1809     0.406     0.046
    2.258    1.1317     0.414     0.038
    2.311    1.0977     0.422     0.034
    2.365    1.0767     0.426     0.032
    2.419    1.0657     0.430     0.032
    2.473    1.0624     0.430     0.032
 
# Band-Index   12
    2.473    2.8808     0.248     0.092
    2.419    2.9018     0.248     0.096
    2.365    2.9594     0.254     0.110
    2.311    2.7306     0.542     0.124
    2.258    2.2730     0.554     0.104
    2.204    1.8263     0.566     0.084
    2.150    1.4640     0.574     0.074
    2.096    1.3027     0.382     0.078
    2.042    1.3465     0.514     0.148
    1.988    1.6179     0.466     0.208
    1.934    1.9358     0.470     0.080
    1.880    2.1639     0.478     0.102
    1.826    2.4493     0.490     0.132
    1.772    2.7908     0.496     0.168
    1.718    2.9209     0.366     0.190
    1.664    2.8714     0.378     0.176
    1.611    2.8381     0.392     0.164
    1.557    2.8191     0.406     0.152
    1.503    2.8104     0.416     0.146
    1.449    2.8081     0.420     0.143
    1.449    2.8081     0.420     0.143
    1.410    2.8003     0.418     0.143
    1.372    2.7773     0.413     0.145
    1.333    2.7397     0.405     0.148
    1.295    2.6884     0.394     0.151
    1.256    2.6242     0.382     0.155
    1.218    2.5472     0.370     0.160
    1.179    2.4561     0.360     0.165
    1.141    2.3468     0.352     0.172
    1.102    2.2116     0.351     0.181
    1.064    2.0410     0.358     0.188
    1.025    1.8311     0.376     0.190
    0.987    1.5913     0.398     0.183
    0.948    1.3413     0.423     0.169
    0.909    1.1054     0.448     0.148
    0.871    0.9128     0.470     0.130
    0.832    0.7985     0.482     0.125
    0.794    0.7845     0.469     0.149
    0.755    0.8434     0.435     0.195
    0.717    0.8857     0.409     0.225
    0.717    0.8857     0.409     0.225
    0.679    1.0725     0.400     0.240
    0.641    1.2705     0.392     0.250
    0.604    1.4746     0.384     0.258
    0.566    1.5728     0.623     0.053
    0.528    1.6414     0.623     0.054
    0.490    1.5851     0.358     0.098
    0.453    1.4918     0.366     0.086
    0.415    1.4080     0.374     0.076
    0.377    1.5178     0.466     0.140
    0.340    1.7632     0.466     0.144
    0.302    2.0119     0.468     0.148
    0.264    2.2604     0.470     0.152
    0.226    2.5042     0.474     0.154
    0.189    2.7380     0.478     0.154
    0.151    2.9537     0.476     0.154
    0.113    2.9499     0.254     0.112
    0.075    2.9137     0.250     0.100
    0.038    2.8894     0.248     0.094
    0.000    2.8808     0.248     0.092
 
# Band-Index   13
    0.000    3.3345     0.124     0.092
    0.038    3.3251     0.174     0.104
    0.075    3.2709     0.345     0.134
    0.113    3.1392     0.454     0.150
    0.151    2.9907     0.262     0.130
    0.189    3.0248     0.274     0.154
    0.226    2.9910     0.593     0.110
