#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   0.30184     -7.242965  0.014  0.000  0.038  0.048  0.000  0.000  0.004  0.000  0.000  0.104
   0.33957     -7.332813  0.010  0.000  0.036  0.054  0.000  0.000  0.004  0.000  0.000  0.102
   0.37730     -7.416852  0.008  0.000  0.034  0.058  0.000  0.000  0.004  0.000  0.000  0.102
   0.41503     -7.492524  0.006  0.000  0.032  0.062  0.000  0.000  0.004  0.000  0.000  0.102
   0.45276     -7.557639  0.004  0.000  0.032  0.064  0.000  0.000  0.002  0.000  0.000  0.104
   0.49049     -7.610372  0.006  0.000  0.030  0.068  0.000  0.000  0.002  0.000  0.000  0.106
   0.52822     -7.649267  0.006  0.000  0.030  0.070  0.000  0.000  0.002  0.000  0.000  0.108
   0.56595     -7.673222  0.010  0.000  0.028  0.072  0.000  0.000  0.002  0.000  0.000  0.112
   0.60368     -7.681501  0.014  0.000  0.028  0.072  0.000  0.000  0.002  0.000  0.000  0.116
   0.64141     -7.673719  0.020  0.000  0.028  0.074  0.000  0.000  0.002  0.000  0.000  0.122
   0.67914     -7.649815  0.028  0.000  0.028  0.074  0.000  0.000  0.002  0.000  0.000  0.130
   0.71687     -7.610031  0.035  0.000  0.027  0.075  0.000  0.000  0.001  0.000  0.000  0.138
   0.71687     -7.610031  0.035  0.000  0.027  0.075  0.000  0.000  0.001  0.000  0.000  0.138
   0.75539     -7.605800  0.035  0.000  0.027  0.075  0.000  0.000  0.001  0.000  0.000  0.138
   0.79391     -7.593139  0.035  0.000  0.027  0.074  0.000  0.000  0.001  0.000  0.000  0.138
   0.83243     -7.572143  0.035  0.000  0.028  0.073  0.000  0.000  0.001  0.000  0.000  0.138
   0.87095     -7.542981  0.034  0.000  0.028  0.072  0.000  0.000  0.001  0.000  0.000  0.137
   0.90947     -7.505898  0.034  0.001  0.028  0.071  0.000  0.000  0.001  0.000  0.000  0.136
   0.94799     -7.461230  0.034  0.001  0.029  0.070  0.000  0.000  0.001  0.000  0.000  0.135
   0.98651     -7.409427  0.034  0.001  0.029  0.067  0.001  0.000  0.001  0.000  0.000  0.133
   1.02503     -7.351074  0.033  0.002  0.030  0.064  0.001  0.000  0.001  0.000  0.000  0.133
   1.06355     -7.286925  0.033  0.003  0.031  0.061  0.002  0.000  0.001  0.000  0.000  0.131
   1.10207     -7.217952  0.032  0.004  0.031  0.057  0.002  0.000  0.001  0.000  0.000  0.129
   1.14059     -7.145397  0.031  0.005  0.032  0.053  0.002  0.000  0.001  0.000  0.000  0.126
   1.17911     -7.070840  0.030  0.007  0.034  0.047  0.002  0.000  0.001  0.000  0.000  0.123
   1.21764     -6.996280  0.030  0.010  0.035  0.041  0.003  0.000  0.002  0.000  0.000  0.119
   1.25616     -6.924210  0.028  0.012  0.037  0.034  0.004  0.000  0.002  0.000  0.000  0.116
   1.29468     -6.857644  0.027  0.015  0.039  0.026  0.004  0.000  0.001  0.000  0.000  0.112
   1.33320     -6.800075  0.026  0.019  0.040  0.018  0.004  0.000  0.001  0.000  0.000  0.108
   1.37172     -6.755236  0.025  0.021  0.041  0.011  0.005  0.000  0.001  0.000  0.000  0.105
   1.41024     -6.726616  0.024  0.023  0.041  0.007  0.005  0.000  0.002  0.000  0.000  0.103
   1.44876     -6.716762  0.024  0.024  0.042  0.005  0.005  0.000  0.002  0.000  0.000  0.101
   1.44876     -6.716762  0.024  0.024  0.042  0.005  0.005  0.000  0.002  0.000  0.000  0.101
   1.50268     -6.737991  0.022  0.024  0.042  0.006  0.006  0.000  0.002  0.000  0.000  0.102
   1.55660     -6.797359  0.020  0.024  0.040  0.008  0.004  0.000  0.002  0.000  0.000  0.100
   1.61052     -6.883812  0.016  0.026  0.040  0.012  0.004  0.000  0.002  0.000  0.000  0.100
   1.66444     -6.983714  0.014  0.026  0.038  0.016  0.004  0.000  0.002  0.000  0.000  0.098
   1.71836     -7.084362  0.010  0.026  0.036  0.018  0.004  0.000  0.002  0.000  0.000  0.096
   1.77228     -7.175587  0.006  0.026  0.036  0.022  0.002  0.000  0.002  0.000  0.000  0.094
   1.82620     -7.249966  0.004  0.026  0.036  0.024  0.002  0.000  0.002  0.000  0.000  0.094
   1.88012     -7.302442  0.002  0.026  0.036  0.024  0.002  0.000  0.002  0.000  0.000  0.092
   1.93404     -7.329907  0.002  0.026  0.036  0.026  0.002  0.000  0.004  0.000  0.000  0.092
   1.98796     -7.330883  0.002  0.024  0.036  0.026  0.002  0.000  0.004  0.000  0.000  0.094
   2.04188     -7.305376  0.006  0.024  0.036  0.024  0.000  0.000  0.004  0.000  0.000  0.094
   2.09580     -7.254868  0.008  0.022  0.038  0.024  0.000  0.000  0.004  0.000  0.000  0.096
   2.14972     -7.182417  0.014  0.020  0.040  0.022  0.000  0.000  0.004  0.000  0.000  0.100
   2.20364     -7.092927  0.018  0.016  0.042  0.020  0.000  0.000  0.004  0.000  0.000  0.102
   2.25756     -6.993553  0.024  0.012  0.044  0.018  0.000  0.000  0.006  0.000  0.000  0.104
   2.31148     -6.894159  0.030  0.008  0.046  0.014  0.000  0.000  0.006  0.000  0.000  0.106
   2.36540     -6.807349  0.034  0.004  0.050  0.012  0.000  0.000  0.006  0.000  0.000  0.106
   2.41932     -6.747165  0.038  0.002  0.052  0.008  0.000  0.000  0.006  0.000  0.000  0.106
   2.47324     -6.725505  0.040  0.000  0.052  0.008  0.000  0.000  0.006  0.000  0.000  0.106
 
# Band-Index    4
   2.47324     -5.748259  0.194  0.000  0.086  0.000  0.000  0.000  0.000  0.000  0.000  0.280
   2.41932     -5.773094  0.192  0.002  0.084  0.002  0.000  0.000  0.000  0.000  0.000  0.278
   2.36540     -5.844035  0.188  0.004  0.076  0.006  0.000  0.000  0.000  0.000  0.000  0.274
   2.31148     -5.951650  0.180  0.010  0.068  0.010  0.000  0.000  0.000  0.000  0.000  0.268
   2.25756     -6.083623  0.170  0.014  0.060  0.014  0.000  0.000  0.000  0.000  0.000  0.260
   2.20364     -6.227744  0.160  0.018  0.052  0.018  0.000  0.000  0.000  0.000  0.000  0.250
   2.14972     -6.373579  0.150  0.022  0.046  0.022  0.000  0.000  0.000  0.000  0.000  0.240
   2.09580     -6.512906  0.138  0.024  0.042  0.024  0.000  0.000  0.000  0.000  0.000  0.230
   2.04188     -6.639478  0.126  0.026  0.038  0.026  0.000  0.000  0.000  0.000  0.000  0.220
