#   Theta  Young's-Modulus  Shear-Modulus    Poisson's-Ratio
#   You can plot in 2d polar coordinates 
  271.000      5.2378           17.3308           0.8694
  271.500      5.2447           17.0354           0.8693
  272.000      5.2544           16.6389           0.8690
  272.500      5.2668           16.1562           0.8687
  273.000      5.2820           15.6040           0.8683
  273.500      5.3001           14.9996           0.8679
  274.000      5.3210           14.3597           0.8674
  274.500      5.3449           13.6995           0.8668
  275.000      5.3717           13.0323           0.8661
  275.500      5.4016           12.3692           0.8654
  276.000      5.4345           11.7190           0.8645
  276.500      5.4705           11.0886           0.8636
  277.000      5.5098           10.4829           0.8627
  277.500      5.5524            9.9050           0.8616
  278.000      5.5983            9.3571           0.8605
  278.500      5.6477            8.8400           0.8592
  279.000      5.7007            8.3537           0.8579
  279.500      5.7574            7.8980           0.8565
  280.000      5.8179            7.4717           0.8550
  280.500      5.8823            7.0737           0.8534
  281.000      5.9508            6.7025           0.8517
  281.500      6.0236            6.3567           0.8499
  282.000      6.1007            6.0346           0.8479
  282.500      6.1824            5.7348           0.8459
  283.000      6.2688            5.4557           0.8437
  283.500      6.3602            5.1958           0.8415
  284.000      6.4567            4.9538           0.8391
  284.500      6.5586            4.7283           0.8365
  285.000      6.6662            4.5181           0.8338
  285.500      6.7796            4.3221           0.8310
  286.000      6.8992            4.1391           0.8280
  286.500      7.0253            3.9682           0.8249
  287.000      7.1581            3.8085           0.8216
  287.500      7.2981            3.6592           0.8181
  288.000      7.4455            3.5194           0.8144
  288.500      7.6008            3.3885           0.8105
  289.000      7.7644            3.2658           0.8065
  289.500      7.9367            3.1507           0.8022
  290.000      8.1182            3.0427           0.7976
  290.500      8.3094            2.9412           0.7929
  291.000      8.5109            2.8459           0.7879
  291.500      8.7231            2.7562           0.7826
  292.000      8.9468            2.6718           0.7770
  292.500      9.1825            2.5923           0.7711
  293.000      9.4309            2.5174           0.7649
  293.500      9.6929            2.4468           0.7584
  294.000      9.9692            2.3802           0.7515
  294.500     10.2605            2.3173           0.7442
  295.000     10.5679            2.2580           0.7366
  295.500     10.8921            2.2020           0.7285
  296.000     11.2343            2.1491           0.7200
  296.500     11.5953            2.0990           0.7110
  297.000     11.9764            2.0518           0.7015
  297.500     12.3787            2.0071           0.6915
  298.000     12.8033            1.9648           0.6809
  298.500     13.2515            1.9248           0.6697
  299.000     13.7245            1.8871           0.6579
  299.500     14.2237            1.8513           0.6455
  300.000     14.7502            1.8175           0.6323
  300.500     15.3056            1.7856           0.6185
  301.000     15.8909            1.7554           0.6039
  301.500     16.5076            1.7269           0.5885
  302.000     17.1567            1.7000           0.5724
  302.500     17.8393            1.6746           0.5553
  303.000     18.5562            1.6507           0.5375
  303.500     19.3082            1.6281           0.5187
  304.000     20.0955            1.6069           0.4991
  304.500     20.9182            1.5869           0.4786
  305.000     21.7758            1.5682           0.4572
  305.500     22.6672            1.5506           0.4350
  306.000     23.5907            1.5342           0.4120
  306.500     24.5438            1.5188           0.3882
  307.000     25.5228            1.5045           0.3638
  307.500     26.5234            1.4913           0.3389
  308.000     27.5396            1.4790           0.3136
  308.500     28.5645            1.4677           0.2880
  309.000     29.5896            1.4573           0.2625
  309.500     30.6050            1.4479           0.2371
  310.000     31.5996            1.4393           0.2124
  310.500     32.5609            1.4316           0.1884
  311.000     33.4754            1.4247           0.1656
  311.500     34.3289            1.4187           0.1443
  312.000     35.1069            1.4136           0.1249
  312.500     35.7950            1.4092           0.1078
  313.000     36.3796            1.4056           0.0932
  313.500     36.8484            1.4029           0.0815
  314.000     37.1912            1.4009           0.0730
  314.500     37.4001            1.3997           0.0678
  315.000     37.4703            1.3993           0.0660
  315.500     37.4001            1.3997           0.0678
  316.000     37.1912            1.4009           0.0730
  316.500     36.8484            1.4029           0.0815
  317.000     36.3796            1.4056           0.0932
  317.500     35.7950            1.4092           0.1078
  318.000     35.1069            1.4136           0.1249
  318.500     34.3289            1.4187           0.1443
  319.000     33.4754            1.4247           0.1656
  319.500     32.5609            1.4316           0.1884
  320.000     31.5996            1.4393           0.2124
  320.500     30.6050            1.4479           0.2371
  321.000     29.5896            1.4573           0.2625
  321.500     28.5645            1.4677           0.2880
  322.000     27.5396            1.4790           0.3136
  322.500     26.5234            1.4913           0.3389
  323.000     25.5228            1.5045           0.3638
  323.500     24.5438            1.5188           0.3882
  324.000     23.5907            1.5342           0.4120
  324.500     22.6672            1.5506           0.4350
  325.000     21.7758            1.5682           0.4572
  325.500     20.9182            1.5869           0.4786
  326.000     20.0955            1.6069           0.4991
  326.500     19.3082            1.6281           0.5187
  327.000     18.5562            1.6507           0.5375
  327.500     17.8393            1.6746           0.5553
  328.000     17.1567            1.7000           0.5724
  328.500     16.5076            1.7269           0.5885
  329.000     15.8909            1.7554           0.6039
  329.500     15.3056            1.7856           0.6185
  330.000     14.7502            1.8175           0.6323
  330.500     14.2237            1.8513           0.6455
  331.000     13.7245            1.8871           0.6579
  331.500     13.2515            1.9248           0.6697
  332.000     12.8033            1.9648           0.6809
  332.500     12.3787            2.0071           0.6915
  333.000     11.9764            2.0518           0.7015
  333.500     11.5953            2.0990           0.7110
  334.000     11.2343            2.1491           0.7200
  334.500     10.8921            2.2020           0.7285
  335.000     10.5679            2.2580           0.7366
  335.500     10.2605            2.3173           0.7442
  336.000      9.9692            2.3802           0.7515
  336.500      9.6929            2.4468           0.7584
  337.000      9.4309            2.5174           0.7649
  337.500      9.1825            2.5923           0.7711
  338.000      8.9468            2.6718           0.7770
  338.500      8.7231            2.7562           0.7826
  339.000      8.5109            2.8459           0.7879
  339.500      8.3094            2.9412           0.7929
  340.000      8.1182            3.0427           0.7976
  340.500      7.9367            3.1507           0.8022
  341.000      7.7644            3.2658           0.8065
  341.500      7.6008            3.3885           0.8105
  342.000      7.4455            3.5194           0.8144
  342.500      7.2981            3.6592           0.8181
  343.000      7.1581            3.8085           0.8216
  343.500      7.0253            3.9682           0.8249
  344.000      6.8992            4.1391           0.8280
